Transaction_date	Movie Name	Price	Payment_Type	Name	City	State	Movie Type	Account_Created	Last_Login	Latitude	Longitude	
1/2/2009 6:17	Toy Story (1995)	1200	Mastercard	carolina	Basildon	England	Adventure	1/2/2009 6:00	1/2/2009 6:08	51.5	-1.1166667	
1/2/2009 4:53	Jumanji (1995)	1200	Visa	Betina	Parkville                   	MO	Adventure	1/2/2009 4:42	1/2/2009 7:49	39.195	-94.68194	
1/2/2009 13:08	Grumpier Old Men (1995)	1200	Mastercard	Federica e Andrea	Astoria                     	OR	Comedy	1/1/2009 16:21	1/3/2009 12:32	46.18806	-123.83	
1/3/2009 14:44	Waiting to Exhale (1995)	1200	Visa	Gouya	Echuca	Victoria	Comedy	9/25/05 21:13	1/3/2009 14:22	-36.1333333	144.75	
1/4/2009 12:56	Father of the Bride Part II (1995)	3600	Visa	Gerd W 	Cahaba Heights              	AL	Comedy	11/15/08 15:47	1/4/2009 12:45	33.52056	-86.8025	
1/4/2009 13:19	Heat (1995)	1200	Visa	LAURENCE	Mickleton                   	NJ	Action	9/24/08 15:19	1/4/2009 13:04	39.79	-75.23806	
1/4/2009 20:11	Sabrina (1995)	1200	Mastercard	Fleur	Peoria                      	IL	Comedy	1/3/2009 9:38	1/4/2009 19:45	40.69361	-89.58889	
1/2/2009 20:09	Tom and Huck (1995)	1200	Mastercard	adam	Martin                      	TN	Adventure	1/2/2009 17:43	1/4/2009 20:01	36.34333	-88.85028	
1/4/2009 13:17	Sudden Death (1995)	1200	Mastercard	Renee Elisabeth	Tel Aviv	Tel Aviv	Action	1/4/2009 13:03	1/4/2009 22:10	32.0666667	34.7666667	
1/4/2009 14:11	GoldenEye (1995)	1200	Visa	Aidan	Chatou	Ile-de-France	Action	6/3/2008 4:22	1/5/2009 1:17	48.8833333	2.15	
1/5/2009 2:42	"American President, The (1995)"	1200	Diners	Stacy	New York                    	NY	Comedy	1/5/2009 2:23	1/5/2009 4:59	40.71417	-74.00639	
1/5/2009 5:39	Dracula: Dead and Loving It (1995)	1200	Amex	Heidi	Eindhoven	Noord-Brabant	Comedy	1/5/2009 4:55	1/5/2009 8:15	51.45	5.4666667	
1/2/2009 9:16	Balto (1995)	1200	Mastercard	Sean 	Shavano Park                	TX	Adventure	1/2/2009 8:32	1/5/2009 9:05	29.42389	-98.49333	
1/5/2009 10:08	Nixon (1995)	1200	Visa	Georgia	Eagle                       	ID	Drama	11/11/2008 15:53	1/5/2009 10:05	43.69556	-116.35306	
1/2/2009 14:18	Cutthroat Island (1995)	1200	Visa	Richard	Riverside                   	NJ	Action	12/9/2008 12:07	1/5/2009 11:01	40.03222	-74.95778	
1/4/2009 1:05	Casino (1995)	1200	Diners	Leanne	Julianstown	Meath	Crime	1/4/2009 0:00	1/5/2009 13:36	53.6772222	-6.3191667	
1/5/2009 11:37	Sense and Sensibility (1995)	1200	Visa	Janet	Ottawa	Ontario	Drama	1/5/2009 9:35	1/5/2009 19:24	45.4166667	-75.7	
1/6/2009 5:02	Four Rooms (1995)	1200	Diners	barbara	Hyderabad	Andhra Pradesh	Comedy	1/6/2009 2:41	1/6/2009 7:52	17.3833333	78.4666667	
1/6/2009 7:45	Ace Ventura: When Nature Calls (1995)	3600	Visa	Sabine	London	England	Comedy	1/6/2009 7:00	1/6/2009 9:17	51.52721	0.14559	
1/2/2009 7:35	Money Train (1995)	1200	Diners	Hani	Salt Lake City              	UT	Action	12/30/08 5:44	1/6/2009 10:52	40.76083	-111.89028	
1/6/2009 12:56	Get Shorty (1995)	1200	Visa	Jeremy	Manchester	England	Comedy	1/6/2009 10:58	1/6/2009 13:31	53.5	-2.2166667	
1/1/2009 11:05	Copycat (1995)	1200	Diners	Janis	Ballynora	Cork	Crime	12/10/2007 12:37	1/7/2009 1:52	51.8630556	-8.58	
1/5/2009 4:10	Assassins (1995)	1200	Mastercard	Nicola	Roodepoort	Gauteng	Action	1/5/2009 2:33	1/7/2009 5:13	-26.1666667	27.8666667	
1/6/2009 7:18	Powder (1995)	1200	Visa	asuman	Chula Vista                 	CA	Drama	1/6/2009 7:07	1/7/2009 7:08	32.64	-117.08333	
1/2/2009 1:11	Leaving Las Vegas (1995)	1200	Mastercard	Lena	Kuopio	Ita-Suomen Laani	Drama	12/31/08 2:48	1/7/2009 10:20	62.9	27.6833333	
1/1/2009 2:24	Othello (1995)	1200	Visa	Lisa	Sugar Land                  	TX	Drama	1/1/2009 1:56	1/7/2009 10:52	29.61944	-95.63472	
1/7/2009 8:08	Now and Then (1995)	1200	Diners	Bryan Kerrene	New York                    	NY	Children	1/7/2009 7:39	1/7/2009 12:38	40.71417	-74.00639	
1/2/2009 2:57	Persuasion (1995)	1200	Visa	chris	London	England	Drama	1/3/2008 7:23	1/7/2009 13:14	51.52721	0.14559	
1/1/2009 20:21	"City of Lost Children, The (Cit?? des enfants perdus, La) (1995)"	1200	Visa	Maxine	Morton                      	IL	Adventure	10/24/08 6:48	1/7/2009 20:49	40.61278	-89.45917	
1/8/2009 0:42	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	1200	Visa	Family	Los Gatos                   	CA	Crime	1/8/2009 0:28	1/8/2009 3:39	37.22667	-121.97361	
1/8/2009 3:56	Dangerous Minds (1995)	1200	Mastercard	Katherine	New York                    	NY	Drama	1/8/2009 3:33	1/8/2009 6:19	40.71417	-74.00639	
1/8/2009 3:16	Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	1200	Mastercard	Linda	Miami                       	FL	Mystery	1/8/2009 3:06	1/8/2009 6:34	25.77389	-80.19389	
1/8/2009 1:59	Babe (1995)	1200	Mastercard	SYLVIA	Vesenaz	Geneve	Children	11/28/07 11:56	1/8/2009 7:20	46.2333333	6.2	
1/3/2009 9:03	Dead Man Walking (1995)	1200	Diners	Sheila	Brooklyn                    	NY	Crime	1/3/2009 8:47	1/8/2009 10:38	40.65	-73.95	
1/5/2009 13:17	It Takes Two (1995)	1200	Mastercard	Stephanie	Badhoevedorp	Noord-Holland	Children	1/5/2009 12:45	1/8/2009 11:45	52.3333333	4.7833333	
1/6/2009 7:46	Clueless (1995)	1200	Amex	Kelly	Reston                      	VA	Comedy	1/6/2009 7:30	1/8/2009 12:40	38.96861	-77.34139	
1/5/2009 20:00	"Cry, the Beloved Country (1995)"	3600	Visa	James	Burpengary	Queensland	Drama	12/10/2008 19:53	1/8/2009 17:58	-27.1666667	152.95	
1/8/2009 16:24	Richard III (1995)	1200	Visa	jennifer	Phoenix                     	AZ	Drama	1/8/2009 15:57	1/8/2009 18:30	33.44833	-112.07333	
1/9/2009 6:39	Dead Presidents (1995)	1200	Mastercard	Anneli	Houston                     	TX	Action	1/9/2009 5:09	1/9/2009 7:11	29.76306	-95.36306	
1/6/2009 22:19	Restoration (1995)	3600	Amex	Ritz	Pittsfield                  	VT	Drama	1/6/2009 12:00	1/9/2009 10:05	43.77222	-72.81333	
1/6/2009 23:00	Mortal Kombat (1995)	3600	Amex	Sylvia	Pittsfield                  	VT	Action	1/6/2009 12:00	1/9/2009 10:05	43.77222	-72.81333	
1/7/2009 7:44	To Die For (1995)	1200	Mastercard	Marie	Ball Ground                 	GA	Comedy	1/7/2009 5:35	1/9/2009 10:52	34.33806	-84.37667	
1/3/2009 13:24	How to Make an American Quilt (1995)	1200	Visa	Mehmet Fatih	Helsingor	Frederiksborg	Drama	1/3/2009 12:47	1/9/2009 11:14	56.0333333	12.6166667	
1/7/2009 15:12	Seven (a.k.a. Se7en) (1995)	3600	Visa	Anabela	Flossmoor                   	IL	Mystery	1/5/2009 19:55	1/9/2009 16:03	41.54278	-87.68472	
1/7/2009 20:15	Pocahontas (1995)	1200	Amex	Nicole	Houston                     	TX	Animation	1/7/2009 17:17	1/9/2009 20:02	29.76306	-95.36306	
1/3/2009 10:11	When Night Is Falling (1995)	3600	Visa	Christiane 	Delray Beach                	FL	Drama	1/3/2009 9:27	1/10/2009 9:46	26.46111	-80.07306	
1/9/2009 15:58	"Usual Suspects, The (1995)"	1200	Mastercard	Sari	Newbury	England	Crime	1/9/2009 14:53	1/10/2009 13:16	51.4	-1.3166667	
1/3/2009 13:11	Mighty Aphrodite (1995)	1200	Mastercard	simone	Kobenhavn	Kobenhavn	Comedy	10/31/08 0:31	1/10/2009 13:24	55.6666667	12.5833333	
1/10/2009 12:57	Lamerica (1994)	1200	Amex	Vanessa	Sandy Springs               	GA	Adventure	2/7/2007 20:16	1/10/2009 14:09	33.92417	-84.37861	
1/10/2009 14:43	"Big Green, The (1995)"	1200	Diners	Anupam	Kinsaley	Dublin	Children	1/9/2009 11:38	1/10/2009 14:37	53.4247222	-6.1758333	
1/10/2009 12:05	Georgia (1995)	1200	Visa	Karina	Fort Lauderdale             	FL	Drama	7/1/2008 12:53	1/10/2009 16:33	26.12194	-80.14361	
